pm_code,supplier_code,supplier
UKD-BMC,BMC,BM Catalysts
UKD-COM,COM,Comline
UKD-DEL,DEL,Delphi
UKD-DEN,DEN,Denso
UKD-DRP,DRP,Draper
UKD-EEC,EEC,EEC
UKD-ELR,ELR,Elring
UKD-FAI,FAI,FAI
UKD-FEB,FEB,Febi
UKD-FED,FED,Federal Mogul
UKD-FIR,FIR,First Line
UKD-HEL,HEL,Hella
UKD-JUR,JUR,Juratek
UKD-KLA,KLA,Klarius
UKD-MON,MON,Monroe
UKD-MOT,MOT,Motaquip
UKD-NGK,NGK,NGK
UKD-NIS,NIS,Nissens
UKD-QXC,QXC,QX Components
UKD-ROL,ROL,Rollco
UKD-SAC,SAC,Sachs (ZF)
UKD-SEA,SEA,Sealey
UKD-SMP,SMP,SMPE
UKD-TMD,TMD,TMD Friction
UKD-VAL,VAL,Valeo
UKF-ARN,FPS,Arnott (FPS)
UKF-BGA,FPS,BGA (FPS)
UKF-BOS,FPS,Bosch (FPS)
UKF-BRY,FPS,Braymann (FPS)
UKF-CAM,FPS,Cambiare (FPS)
UKF-COR,FPS,Corteco (FPS)
UKF-ELC,FPS,Electric Life (FPS)
UKF-FAH,FPS,Fahren (FPS)
UKF-GAT,FPS,Gates (FPS)
UKF-KYB,FPS,KYB (FPS)
UKF-NIS,FPS,Nissens (FPS)
UKF-NRF,FPS,NRF (FPS)
UKF-OEM,FPS,OE Engine Management (FPS)
UKF-PAY,FPS,Payen (FPS)
UKF-REM,FPS,Remy (FPS)
UKF-STB,FPS,Stabilus (FPS)
UKF-VOL,FPS,Voltz (FPS)
UKF-VOR,FPS,Vordekante (FPS)
UKS-SVC,SVC,Service Kits
UKW-BLP,FPS,Blue Print (FPS)
UKW-BOS,FPS,Bosch (FPS)
UKW-INA,FPS,INA (FPS)
UKW-KYB,FPS,KYB (FPS)
UKW-LUK,FPS,LUK (FPS)
UKW-TRW,FPS,TRW (FPS)
UKW-VAL,FPS,Valeo (FPS)
UKZ-CCA,FPS,CCA (FPS)
