supplier,code,stock,stock_calculation,timestamp
APE,ABR101,YES,10,2024-07-30 10:58:57
APE,ABR102,YES,10,2024-07-30 10:58:57
APE,ABR103,YES,10,2024-07-30 10:58:57
APE,ABR104,YES,10,2024-07-30 10:58:57
APE,ABR105,YES,10,2024-07-30 10:58:57
APE,ABR106,YES,10,2024-07-30 10:58:57
APE,ABR107,YES,10,2024-07-30 10:58:57
APE,ABR108,YES,10,2024-07-30 10:58:57
APE,ABR109,YES,10,2024-07-30 10:58:57
APE,ABR110,YES,10,2024-07-30 10:58:57
APE,ABR111,YES,10,2024-07-30 10:58:57
APE,ABR113,YES,10,2024-07-30 10:58:57
APE,ABR114,YES,10,2024-07-30 10:58:57
APE,ABR115,YES,10,2024-07-30 10:58:57
APE,ABR116,YES,10,2024-07-30 10:58:57
APE,ABR118,YES,10,2024-07-30 10:58:57
APE,ABR119,YES,10,2024-07-30 10:58:57
APE,ABR120,YES,10,2024-07-30 10:58:57
APE,ABR121,YES,10,2024-07-30 10:58:57
APE,ABR122,YES,10,2024-07-30 10:58:57
APE,ABS1001,YES,10,2024-07-30 10:58:57
APE,ABS1002,YES,10,2024-07-30 10:58:57
APE,ABS1003,YES,10,2024-07-30 10:58:57
APE,ABS1004,YES,10,2024-07-30 10:58:57
APE,ABS1005,YES,10,2024-07-30 10:58:57
APE,ABS1006,YES,10,2024-07-30 10:58:57
APE,ABS1007,NO,0,2024-07-30 10:58:57
APE,ABS1008,YES,10,2024-07-30 10:58:57
APE,ABS1009,YES,10,2024-07-30 10:58:57
APE,ABS1010,YES,10,2024-07-30 10:58:57
APE,ABS1011,YES,10,2024-07-30 10:58:57
APE,ABS1012,YES,10,2024-07-30 10:58:57
APE,ABS1013,YES,10,2024-07-30 10:58:57
APE,ABS1014,YES,10,2024-07-30 10:58:57
APE,ABS1015,YES,10,2024-07-30 10:58:57
APE,ABS1016,YES,10,2024-07-30 10:58:57
APE,ABS1017,YES,10,2024-07-30 10:58:57
APE,ABS1018,YES,10,2024-07-30 10:58:57
APE,ABS1019,YES,10,2024-07-30 10:58:57
APE,ABS1020,YES,10,2024-07-30 10:58:57
APE,ABS1021,YES,10,2024-07-30 10:58:57
APE,ABS1022,YES,10,2024-07-30 10:58:57
APE,ABS1023,YES,10,2024-07-30 10:58:57
APE,ABS1024,YES,10,2024-07-30 10:58:57
APE,ABS1025,YES,10,2024-07-30 10:58:57
APE,ABS1026,YES,10,2024-07-30 10:58:57
APE,ABS1027,YES,10,2024-07-30 10:58:57
APE,ABS1028,YES,10,2024-07-30 10:58:57
APE,ABS1029,YES,10,2024-07-30 10:58:57
APE,ABS1030,YES,10,2024-07-30 10:58:57
APE,ABS1031,YES,10,2024-07-30 10:58:57
APE,ABS1032,YES,10,2024-07-30 10:58:57
APE,ABS1033,YES,10,2024-07-30 10:58:57
APE,ABS1034,YES,10,2024-07-30 10:58:57
APE,ABS1035,YES,10,2024-07-30 10:58:57
APE,ABS1036,YES,10,2024-07-30 10:58:57
APE,ABS1037,YES,10,2024-07-30 10:58:57
APE,ABS1038,YES,10,2024-07-30 10:58:57
APE,ABS1039,YES,10,2024-07-30 10:58:57
APE,ABS1040,YES,10,2024-07-30 10:58:57
APE,ABS1041,YES,10,2024-07-30 10:58:57
APE,ABS1042,YES,10,2024-07-30 10:58:57
APE,ABS1043,YES,10,2024-07-30 10:58:57
APE,ABS1044,YES,10,2024-07-30 10:58:57
APE,ABS1045,YES,10,2024-07-30 10:58:57
APE,ABS1046,YES,10,2024-07-30 10:58:57
APE,ABS1047,YES,10,2024-07-30 10:58:57
APE,ABS1048,YES,10,2024-07-30 10:58:57
APE,ABS1049,YES,10,2024-07-30 10:58:57
APE,ABS1050,YES,10,2024-07-30 10:58:57
APE,ABS1051,YES,10,2024-07-30 10:58:57
APE,ABS1052,YES,10,2024-07-30 10:58:57
APE,ABS1053,YES,10,2024-07-30 10:58:57
APE,ABS1054,YES,10,2024-07-30 10:58:57
APE,ABS1055,YES,10,2024-07-30 10:58:57
APE,ABS1056,YES,10,2024-07-30 10:58:57
APE,ABS1057,YES,10,2024-07-30 10:58:57
APE,ABS1058,YES,10,2024-07-30 10:58:57
APE,ABS1059,YES,10,2024-07-30 10:58:57
APE,ABS1060,YES,10,2024-07-30 10:58:57
APE,ABS1061,YES,10,2024-07-30 10:58:57
APE,ABS1062,YES,10,2024-07-30 10:58:57
APE,ABS1063,YES,10,2024-07-30 10:58:57
APE,ABS1064,YES,10,2024-07-30 10:58:57
APE,ABS1065,NO,0,2024-07-30 10:58:57
APE,ABS1066,YES,10,2024-07-30 10:58:57
APE,ABS1067,YES,10,2024-07-30 10:58:57
APE,ABS1068,YES,10,2024-07-30 10:58:57
APE,ABS1069,YES,10,2024-07-30 10:58:57
APE,ABS1070,YES,10,2024-07-30 10:58:57
APE,ABS1071,YES,10,2024-07-30 10:58:57
