supplier,code,stock,stock_calculation,timestamp
BGA,2PK800,0,0,2024-07-30 10:58:57
BGA,2PK860,0,0,2024-07-30 10:58:57
BGA,3PK1038,0,0,2024-07-30 10:58:57
BGA,3PK1050,75,10,2024-07-30 10:58:57
BGA,3PK515,0,0,2024-07-30 10:58:57
BGA,3PK576E,99,10,2024-07-30 10:58:57
BGA,3PK590,34,10,2024-07-30 10:58:57
BGA,3PK628E,87,10,2024-07-30 10:58:57
BGA,3PK630,18,10,2024-07-30 10:58:57
BGA,3PK660,135,10,2024-07-30 10:58:57
BGA,3PK670,339,10,2024-07-30 10:58:57
BGA,3PK675,0,0,2024-07-30 10:58:57
BGA,3PK683,16,10,2024-07-30 10:58:57
BGA,3PK698,0,0,2024-07-30 10:58:57
BGA,3PK705,167,10,2024-07-30 10:58:57
BGA,3PK715,333,10,2024-07-30 10:58:57
BGA,3PK720,112,10,2024-07-30 10:58:57
BGA,3PK735,17,10,2024-07-30 10:58:57
BGA,3PK740,403,10,2024-07-30 10:58:57
BGA,3PK750,67,10,2024-07-30 10:58:57
BGA,3PK751E,161,10,2024-07-30 10:58:57
BGA,3PK760,29,10,2024-07-30 10:58:57
BGA,3PK775,37,10,2024-07-30 10:58:57
BGA,3PK790,76,10,2024-07-30 10:58:57
BGA,3PK800,10,10,2024-07-30 10:58:57
BGA,3PK806E,0,0,2024-07-30 10:58:57
BGA,3PK815,0,0,2024-07-30 10:58:57
BGA,3PK820,0,0,2024-07-30 10:58:57
BGA,3PK830,166,10,2024-07-30 10:58:57
BGA,3PK835,74,10,2024-07-30 10:58:57
BGA,3PK850,97,10,2024-07-30 10:58:57
BGA,3PK855,8,8,2024-07-30 10:58:57
BGA,3PK863E,57,10,2024-07-30 10:58:57
BGA,3PK865,73,10,2024-07-30 10:58:57
BGA,3PK880,133,10,2024-07-30 10:58:57
BGA,3PK890,22,10,2024-07-30 10:58:57
BGA,3PK906,52,10,2024-07-30 10:58:57
BGA,3PK915,40,10,2024-07-30 10:58:57
BGA,3PK938,35,10,2024-07-30 10:58:57
BGA,3PK945,0,0,2024-07-30 10:58:57
BGA,3PK977E,0,0,2024-07-30 10:58:57
BGA,4PK1000,31,10,2024-07-30 10:58:57
BGA,4PK1022E,0,0,2024-07-30 10:58:57
BGA,4PK1045,24,10,2024-07-30 10:58:57
BGA,4PK1054,18,10,2024-07-30 10:58:57
BGA,4PK1062,264,10,2024-07-30 10:58:57
BGA,4PK1070,220,10,2024-07-30 10:58:57
BGA,4PK1075,0,0,2024-07-30 10:58:57
BGA,4PK1090,8,8,2024-07-30 10:58:57
BGA,4PK1100,1,1,2024-07-30 10:58:57
BGA,4PK1102E,91,10,2024-07-30 10:58:57
BGA,4PK1110,18,10,2024-07-30 10:58:57
BGA,4PK1125,147,10,2024-07-30 10:58:57
BGA,4PK1155,47,10,2024-07-30 10:58:57
BGA,4PK1165,63,10,2024-07-30 10:58:57
BGA,4PK1170,14,10,2024-07-30 10:58:57
BGA,4PK1180,27,10,2024-07-30 10:58:57
BGA,4PK1217,11,10,2024-07-30 10:58:57
BGA,4PK1237,20,10,2024-07-30 10:58:57
BGA,4PK1260,38,10,2024-07-30 10:58:57
BGA,4PK1272,23,10,2024-07-30 10:58:57
BGA,4PK1290,13,10,2024-07-30 10:58:57
BGA,4PK1310,0,0,2024-07-30 10:58:57
BGA,4PK1322,43,10,2024-07-30 10:58:57
BGA,4PK1390,8,8,2024-07-30 10:58:57
BGA,4PK1420,0,0,2024-07-30 10:58:57
BGA,4PK1485,41,10,2024-07-30 10:58:57
BGA,4PK1511,113,10,2024-07-30 10:58:57
BGA,4PK1520,0,0,2024-07-30 10:58:57
BGA,4PK1538,347,10,2024-07-30 10:58:57
BGA,4PK1580,0,0,2024-07-30 10:58:57
BGA,4PK1590,61,10,2024-07-30 10:58:57
BGA,4PK1645,0,0,2024-07-30 10:58:57
BGA,4PK1708,0,0,2024-07-30 10:58:57
BGA,4PK1720,0,0,2024-07-30 10:58:57
BGA,4PK1767,15,10,2024-07-30 10:58:57
BGA,4PK1775,13,10,2024-07-30 10:58:57
BGA,4PK1890,69,10,2024-07-30 10:58:57
BGA,4PK545,0,0,2024-07-30 10:58:57
BGA,4PK611,0,0,2024-07-30 10:58:57
BGA,4PK643E,96,10,2024-07-30 10:58:57
BGA,4PK648,31,10,2024-07-30 10:58:57
BGA,4PK665,512,10,2024-07-30 10:58:57
BGA,4PK668,23,10,2024-07-30 10:58:57
BGA,4PK673,0,0,2024-07-30 10:58:57
BGA,4PK698,40,10,2024-07-30 10:58:57
BGA,4PK706,2,2,2024-07-30 10:58:57
BGA,4PK711E,5,5,2024-07-30 10:58:57
BGA,4PK715,80,10,2024-07-30 10:58:57
BGA,4PK725,33,10,2024-07-30 10:58:57
BGA,4PK735,95,10,2024-07-30 10:58:57
BGA,4PK738E,31,10,2024-07-30 10:58:57
BGA,4PK740,42,10,2024-07-30 10:58:57
BGA,4PK745,36,10,2024-07-30 10:58:57
BGA,4PK750,0,0,2024-07-30 10:58:57
BGA,6PK1548,861,10,2024-07-30 10:58:57
BGA,6PK1555,158,10,2024-07-30 10:58:57
BGA,6PK1560,130,10,2024-07-30 10:58:57
BGA,6PK1564,153,10,2024-07-30 10:58:57
BGA,6PK1570,12,10,2024-07-30 10:58:57
BGA,6PK1580,759,10,2024-07-30 10:58:57
BGA,6PK1590,42,10,2024-07-30 10:58:57
BGA,6PK1600,93,10,2024-07-30 10:58:57
BGA,6PK1605,189,10,2024-07-30 10:58:57
BGA,6PK1613,433,10,2024-07-30 10:58:57
BGA,6PK1623,189,10,2024-07-30 10:58:57
BGA,6PK1635,118,10,2024-07-30 10:58:57
BGA,6PK1642,543,10,2024-07-30 10:58:57
BGA,6PK1653,0,0,2024-07-30 10:58:57
BGA,6PK1660,185,10,2024-07-30 10:58:57
BGA,6PK1670,521,10,2024-07-30 10:58:57
BGA,6PK1675,53,10,2024-07-30 10:58:57
BGA,6PK1680,66,10,2024-07-30 10:58:57
BGA,6PK1685,678,10,2024-07-30 10:58:57
BGA,6PK1688E,0,0,2024-07-30 10:58:57
BGA,6PK1693,224,10,2024-07-30 10:58:57
BGA,6PK1698,659,10,2024-07-30 10:58:57
BGA,6PK1705,709,10,2024-07-30 10:58:57
BGA,6PK1710,119,10,2024-07-30 10:58:57
BGA,6PK1715,55,10,2024-07-30 10:58:57
BGA,6PK1720,492,10,2024-07-30 10:58:57
BGA,6PK1725,63,10,2024-07-30 10:58:57
BGA,6PK1733,92,10,2024-07-30 10:58:57
BGA,6PK1740,437,10,2024-07-30 10:58:57
BGA,6PK1743,1007,10,2024-07-30 10:58:57
BGA,6PK1750,147,10,2024-07-30 10:58:57
BGA,6PK1760,41,10,2024-07-30 10:58:57
BGA,6PK1767,127,10,2024-07-30 10:58:57
BGA,6PK1775,19,10,2024-07-30 10:58:57
BGA,6PK1780,63,10,2024-07-30 10:58:57
