supplier,code,stock,stock_calculation,timestamp
COM,ADC0101V,23,10,2024-07-30 10:58:58
COM,ADC01100V,35,10,2024-07-30 10:58:58
COM,ADC01102,56,10,2024-07-30 10:58:58
COM,ADC01103,44,10,2024-07-30 10:58:58
COM,ADC01104,48,10,2024-07-30 10:58:58
COM,ADC01108,18,10,2024-07-30 10:58:58
COM,ADC01109V,79,10,2024-07-30 10:58:58
COM,ADC01110V,4,4,2024-07-30 10:58:58
COM,ADC01111,50,10,2024-07-30 10:58:58
COM,ADC01112V,11,10,2024-07-30 10:58:58
COM,ADC01113V,49,10,2024-07-30 10:58:58
COM,ADC01114V,70,10,2024-07-30 10:58:58
COM,ADC01115,41,10,2024-07-30 10:58:58
COM,ADC01116,33,10,2024-07-30 10:58:58
COM,ADC01117V,10,10,2024-07-30 10:58:58
COM,ADC01120V,50,10,2024-07-30 10:58:58
COM,ADC01121,2,2,2024-07-30 10:58:58
COM,ADC01123V,40,10,2024-07-30 10:58:58
COM,ADC01127,51,10,2024-07-30 10:58:58
COM,ADC01129V,17,10,2024-07-30 10:58:58
COM,ADC01132,42,10,2024-07-30 10:58:58
COM,ADC01133V,4,4,2024-07-30 10:58:58
COM,ADC01134V,20,10,2024-07-30 10:58:58
COM,ADC01135,90,10,2024-07-30 10:58:58
COM,ADC01136V,9,9,2024-07-30 10:58:58
COM,ADC01137,71,10,2024-07-30 10:58:58
COM,ADC01138V,52,10,2024-07-30 10:58:58
COM,ADC01139V,157,10,2024-07-30 10:58:58
COM,ADC01140V,20,10,2024-07-30 10:58:58
COM,ADC01142V,9,9,2024-07-30 10:58:58
COM,ADC01143V,9,9,2024-07-30 10:58:58
COM,ADC01145,44,10,2024-07-30 10:58:58
COM,ADC01146,96,10,2024-07-30 10:58:58
COM,ADC01147V,46,10,2024-07-30 10:58:58
COM,ADC01148V,101,10,2024-07-30 10:58:58
COM,ADC01149,41,10,2024-07-30 10:58:58
COM,ADC01150V,123,10,2024-07-30 10:58:58
COM,ADC01151,1,1,2024-07-30 10:58:58
COM,ADC01153,44,10,2024-07-30 10:58:58
COM,ADC01154V,33,10,2024-07-30 10:58:58
COM,ADC01155V,12,10,2024-07-30 10:58:58
COM,ADC01158V,83,10,2024-07-30 10:58:58
COM,ADC01159,48,10,2024-07-30 10:58:58
COM,ADC01164V,63,10,2024-07-30 10:58:58
COM,ADC01165V,62,10,2024-07-30 10:58:58
