item_id,brand,custom_label,current_quantity
176065438205,Base PG,A286,20
176065438394,Premium,A286,20
155917060095,Base PG,A286x2,20
166467934926,Premium,A286x2,20
155895646130,Base PG,A287,0
166445089331,Premium,A287,0
155895646126,Base PG,A287+A288,0
155895731767,Premium,A287+A288,0
155895646123,Base PG,A287+A288+A289+A290,0
176040586886,Premium,A287+A288+A289+A290,0
166444996537,Base PG,A288,0
176040586884,Premium,A288,0
155895646134,Base PG,A289,20
176040586883,Premium,A289,20
176040502844,Base PG,A289+A290,20
176040586878,Premium,A289+A290,20
176040502849,Base PG,A290,20
155895731776,Premium,A290,20
166444996535,Base PG,A291,0
176040586880,Premium,A291,0
155895646124,Base PG,A291+A292,0
166445089334,Premium,A291+A292,0
176040502841,Base PG,A291+A292+A293+A294,0
155895731787,Premium,A291+A292+A293+A294,0
176040502843,Base PG,A292,0
166445089338,Premium,A292,0
166444996545,Base PG,A293,20
166445089333,Premium,A293,20
166444996538,Base PG,A293+A294,20
155895731769,Premium,A293+A294,20
155895646125,Base PG,A294,20
176040586887,Premium,A294,20
155917060096,Base PG,ABS15,20
166467934925,Premium,ABS15,20
155917060109,Base PG,ABS4,20
176065438393,Premium,ABS4,20
166444996539,Base PG,ACC001,0
176040586881,Premium,ACC001,0
155895646131,Base PG,ACPIPE002,20
155895731768,Premium,ACPIPE002,20
155895646129,Base PG,ACPIPE003,20
155895731773,Premium,ACPIPE003,20
155917060092,Base PG,ADB003,20
176065438388,Premium,ADB003,20
176065438193,Base PG,ADB005,20
166467934927,Premium,ADB005,20
155917060503,Premium,ADB006,0
176065450954,Base PG,ADB006,0
176040502845,Base PG,ASP002,0
155895731777,Premium,ASP002,0
176040502846,Base PG,ASP003,20
155895731772,Premium,ASP003,20
166444996536,Base PG,ASP004KIT,20
155895731770,Premium,ASP004KIT,20
176065438204,Base PG,ASRV001,20
155917060499,Premium,ASRV001,20
155917060504,Premium,ASS001,0
176065450947,Base PG,ASS001,0
155917060498,Premium,ASS001x2,0
166467943105,Base PG,ASS001x2,0
175977658822,Base PG,ASS002,20
175977660568,Premium,ASS002,20
155841396753,Base PG,ASS002x2,20
175977660570,Premium,ASS002x2,20
176040502847,Base PG,ASS004,0
166445089340,Premium,ASS004,0
166444996541,Base PG,ASS004x2,0
155895731775,Premium,ASS004x2,0
176040502850,Base PG,AWP001,20
166445089335,Premium,AWP001,20
166388750181,Base PG,BAG001+BAG005,0
166388750442,Premium,BAG001+BAG005,0
166467934792,Base PG,BAG004,0
176065438390,Premium,BAG004,0
155917060091,Base PG,BAG004x2,0
155917060501,Premium,BAG004x2,0
166388750182,Base PG,BAG005,0
166388750440,Premium,BAG005,0
176065438195,Base PG,BHOSE017,20
166467934928,Premium,BHOSE017,20
166467934781,Base PG,BONH001,20
155917060513,Premium,BONH001,20
166467934780,Base PG,BVP001,20
155917060524,Premium,BVP001,20
166388750185,Base PG,BVP002,20
155841396983,Premium,BVP002,20
166467934788,Base PG,CACT002,0
176065438392,Premium,CACT002,0
166388750183,Base PG,CACT005,20
166388750433,Premium,CACT005,20
155917060101,Base PG,CCV001,20
176065438483,Premium,CCV001,20
155917060094,Base PG,CH02x2,0
176065438389,Premium,CH02x2,0
166467934783,Base PG,CSA1,20
166467934933,Premium,CSA1,20
176065438196,Base PG,DH44,20
166467934929,Premium,DH44,20
155917060100,Base PG,DLA62,20
166467934931,Premium,DLA62,20
155895646141,Base PG,DPFPIPE001,20
166445089337,Premium,DPFPIPE001,20
155895646132,Base PG,DPFPIPE002,20
176040586889,Premium,DPFPIPE002,20
166467934782,Base PG,ECF001,20
155917060505,Premium,ECF001,20
166467934784,Base PG,EGR57,20
155917060522,Premium,EGR57,20
166467934785,Base PG,EGR59,20
176065438400,Premium,EGR59,20
166444996540,Base PG,EGR60,20
155895731771,Premium,EGR60,20
176040502851,Base PG,EGR61,20
176040586890,Premium,EGR61,20
155895646138,Base PG,EGR62,20
166445089336,Premium,EGR62,20
155841396758,Base PG,EGR64,20
166388750431,Premium,EGR64,20
155895646137,Base PG,EGR65,20
155895731778,Premium,EGR65,20
166467934793,Base PG,EGRP001,20
176065438391,Premium,EGRP001,20
155895646135,Base PG,EGRP003,20
166445089343,Premium,EGRP003,20
155917060111,Base PG,EPB001,20
166467934935,Premium,EPB001,20
166467934786,Base PG,EPB002,20
176065438395,Premium,EPB002,20
155917060106,Base PG,EPB003,20
155917060514,Premium,EPB003,20
155841396750,Base PG,EPB005,20
166388750432,Premium,EPB005,20
155917060105,Base PG,ESTRUT03,0
155917060516,Premium,ESTRUT03,0
155917060507,Premium,ESTRUT03x2,0
155917072036,Base PG,ESTRUT03x2,0
176065438198,Base PG,EWP001,20
166467934930,Premium,EWP001,20
176065438207,Base PG,EWP002,20
155917060508,Premium,EWP002,20
155876520483,Base PG,FAN001,0
166425133137,Premium,FAN001,0
166425089411,Base PG,FAN002,20
155876559308,Premium,FAN002,20
176018724700,Base PG,FAN003,20
166425133129,Premium,FAN003,20
155876520469,Base PG,FAN004,0
166425089418,Base PG,FAN004,0
176018724690,Base PG,FAN004,0
176018724697,Base PG,FAN004,0
155876559293,Premium,FAN004,0
155876559302,Premium,FAN004,0
155876559305,Premium,FAN004,0
166425133133,Premium,FAN004,0
166425089412,Base PG,FAN005,0
166425089414,Base PG,FAN005,0
166425089417,Base PG,FAN005,0
176018724693,Base PG,FAN005,0
155876559294,Premium,FAN005,0
166425133132,Premium,FAN005,0
166425133134,Premium,FAN005,0
176018774865,Premium,FAN005,0
155876520482,Base PG,FAN006,20
166425133138,Premium,FAN006,20
166425089410,Base PG,FAN007,20
166425133143,Premium,FAN007,20
176018724701,Base PG,FAN008,20
155876559311,Premium,FAN008,20
176018724691,Base PG,FAN009,20
176018774869,Premium,FAN009,20
155876520471,Base PG,FAN010,20
155876559297,Premium,FAN010,20
155876520472,Base PG,FAN011,20
176018774864,Premium,FAN011,20
155876520470,Base PG,FAN012,0
155876559296,Premium,FAN012,0
176018724695,Base PG,FAN013,0
176018774863,Premium,FAN013,0
155876520473,Base PG,FAN014,20
176018774868,Premium,FAN014,20
176018724694,Base PG,FAN015,20
166425133139,Premium,FAN015,20
176018724705,Base PG,FAN016,20
176018774866,Premium,FAN016,20
156329223812,Base PG,FAN017,0
166893611813,Premium,FAN017,0
176018724692,Base PG,FAN018,20
155876559303,Premium,FAN018,20
156253221363,Base PG,FAN019,0
166818737978,Base PG,FAN019,0
176421036955,Base PG,FAN019,0
156253221355,Premium,FAN019,0
166818737982,Premium,FAN019,0
166818737985,Premium,FAN019,0
166893611822,Base PG,FAN020,0
176497426687,Premium,FAN020,0
155876520475,Base PG,FAN021,20
176018774873,Premium,FAN021,20
176018724699,Base PG,FAN023,20
155876559301,Premium,FAN023,20
166425089424,Base PG,FAN024,20
166425133140,Premium,FAN024,20
176018724710,Base PG,FAN025,20
176018774867,Premium,FAN025,20
155876520474,Base PG,FAN026,0
155876559298,Premium,FAN026,0
166425089435,Base PG,FAN027,20
176018774871,Premium,FAN027,20
156329223804,Base PG,FAN028,0
156329223810,Premium,FAN028,0
155876520477,Base PG,FAN029,20
166425133141,Premium,FAN029,20
166425089420,Base PG,FAN030,20
155876559300,Premium,FAN030,20
166425089430,Base PG,FAN031,20
166425133144,Premium,FAN031,20
176018724698,Base PG,FAN032,20
166425133142,Premium,FAN032,20
155876520487,Base PG,FAN033,20
166425133150,Premium,FAN033,20
155876520489,Base PG,FAN034,20
166425089422,Base PG,FAN034,20
176018774874,Premium,FAN034,20
176018774875,Premium,FAN034,20
155876520485,Base PG,FAN035,20
176018774881,Premium,FAN035,20
166425089426,Base PG,FAN036,0
155876559320,Premium,FAN036,0
166425089423,Base PG,FAN037,20
176018774878,Premium,FAN037,20
166425089433,Base PG,FAN038,20
155876559314,Premium,FAN038,20
155876520490,Base PG,FAN039,20
155876559315,Premium,FAN039,20
155876520492,Base PG,FAN041,20
176018774877,Premium,FAN041,20
176018724713,Base PG,FAN042,20
176018774870,Premium,FAN042,20
166425089438,Base PG,FAN043,20
155876559306,Premium,FAN043,20
176018724703,Base PG,FAN044,20
155876559307,Premium,FAN044,20
176018724704,Base PG,FAN045,0
176018774879,Premium,FAN045,0
155876520481,Base PG,FAN046,20
155876559318,Premium,FAN046,20
155876520488,Base PG,FAN047,20
155876559317,Premium,FAN047,20
166425089428,Base PG,FAN048,20
166425133147,Premium,FAN048,20
166425089429,Base PG,FAN049,0
155876559316,Premium,FAN049,0
155876520486,Base PG,FAN050,20
176018774876,Premium,FAN050,20
176018724707,Base PG,FAN051,20
166425133153,Premium,FAN051,20
166425089427,Base PG,FAN052,0
166425133148,Premium,FAN052,0
176018724709,Base PG,FAN053,20
166425133154,Premium,FAN053,20
166425089432,Base PG,FAN054,20
166425133156,Premium,FAN054,20
155876520494,Base PG,FAN055,20
166425133146,Premium,FAN055,20
155876520491,Base PG,FAN056,20
155876559323,Premium,FAN056,20
176018724711,Base PG,FAN057,20
155876559322,Premium,FAN057,20
176018724712,Base PG,FAN058,20
176018774882,Premium,FAN058,20
155876520495,Base PG,FAN060,20
166425133157,Premium,FAN060,20
166425089434,Base PG,FAN061,20
166425133152,Premium,FAN061,20
176018724706,Base PG,FAN062,20
155876559313,Premium,FAN062,20
166425089431,Base PG,FAN064,20
155876559309,Premium,FAN064,20
155876520493,Base PG,FAN065,20
155876559310,Premium,FAN065,20
155876520497,Base PG,FAN066,20
155876559321,Premium,FAN066,20
166425089436,Base PG,FAN067,20
176018774880,Premium,FAN067,20
176040502848,Base PG,FFH010,0
176040586885,Premium,FFH010,0
176065438199,Base PG,FHKIT27,20
155917060527,Premium,FHKIT27,20
166467934787,Base PG,FHKIT27+FP19,20
155917060506,Premium,FHKIT27+FP19,20
